Date,SPY,^VIX
2010-12-07,96.17211151123047,17.989999771118164
2010-12-08,96.52447509765625,17.739999771118164
2010-12-09,96.9002685546875,17.25
2010-12-10,97.46403503417969,17.610000610351562
2010-12-13,97.52662658691406,17.549999237060547
2010-12-14,97.6127700805664,17.610000610351562
2010-12-15,97.16648864746094,17.940000534057617
2010-12-16,97.73020935058594,17.389999389648438
2010-12-17,97.83488464355469,16.110000610351562
2010-12-20,98.0710220336914,16.40999984741211
2010-12-21,98.6928482055664,16.489999771118164
2010-12-22,98.99980163574219,15.449999809265137
2010-12-23,98.85811614990234,16.469999313354492
2010-12-27,98.89747619628906,17.670000076293945
2010-12-28,99.0391616821289,17.520000457763672
2010-12-29,99.10999298095703,17.280000686645508
2010-12-30,98.95257568359375,17.520000457763672
2010-12-31,98.97618865966797,17.75
2011-01-03,99.99938201904297,17.610000610351562
2011-01-04,99.94429016113281,17.3799991607666
2011-01-05,100.46378326416016,17.020000457763672
2011-01-06,100.26701354980469,17.399999618530273
2011-01-07,100.07024383544922,17.139999389648438
2011-01-10,99.94429016113281,17.540000915527344
2011-01-11,100.29850006103516,16.889999389648438
2011-01-12,101.20361328125,16.239999771118164
2011-01-13,101.03834533691406,16.389999389648438
2011-01-14,101.77033996582031,15.460000038146973
2011-01-18,101.94351196289062,15.869999885559082
2011-01-19,100.94390869140625,17.309999465942383
2011-01-20,100.81010437011719,17.989999771118164
2011-01-21,101.03834533691406,18.469999313354492
2011-01-24,101.6129150390625,17.649999618530273
2011-01-25,101.66802215576172,17.59000015258789
2011-01-26,102.06156158447266,16.639999389648438
2011-01-27,102.31344604492188,16.149999618530273
2011-01-28,100.52677154541016,20.040000915527344
2011-01-31,101.28236389160156,19.530000686645508
2011-02-01,102.90373229980469,17.6299991607666
2011-02-02,102.70697021484375,17.299999237060547
2011-02-03,102.93524932861328,16.690000534057617
2011-02-04,103.22644805908203,15.930000305175781
2011-02-07,103.87186431884766,16.280000686645508
2011-02-08,104.3441162109375,15.8100004196167
2011-02-09,104.10798645019531,15.869999885559082
2011-02-10,104.14737701416016,16.09000015258789
2011-02-11,104.76914978027344,15.6899995803833
2011-02-14,105.02101135253906,15.949999809265137
2011-02-15,104.69041442871094,16.3700008392334
2011-02-16,105.35160064697266,16.719999313354492
2011-02-17,105.66639709472656,16.59000015258789
2011-02-18,105.88679504394531,16.43000030517578
2011-02-22,103.76167297363281,20.799999237060547
2011-02-23,103.12413787841797,22.1299991607666
2011-02-24,103.05327606201172,21.31999969482422
2011-02-25,104.15524291992188,19.219999313354492
2011-02-28,104.8006591796875,18.350000381469727
2011-03-01,103.05327606201172,21.010000228881836
2011-03-02,103.2737045288086,20.700000762939453
2011-03-03,105.05250549316406,18.600000381469727
2011-03-04,104.26544952392578,19.059999465942383
2011-03-07,103.44683074951172,20.65999984741211
2011-03-08,104.35198211669922,19.81999969482422
2011-03-09,104.20243072509766,20.219999313354492
2011-03-10,102.27407836914062,21.8799991607666
2011-03-11,102.98243713378906,20.079999923706055
2011-03-14,102.36067962646484,21.1299991607666
2011-03-15,101.18790435791016,24.31999969482422
2011-03-16,99.31462097167969,29.399999618530273
2011-03-17,100.62904357910156,26.3700008392334
2011-03-18,100.99508666992188,24.440000534057617
2011-03-21,102.56029510498047,20.610000610351562
2011-03-22,102.20455169677734,20.209999084472656
2011-03-23,102.49701690673828,19.170000076293945
2011-03-24,103.47725677490234,18.0
2011-03-25,103.79344940185547,17.90999984741211
2011-03-28,103.54048919677734,19.440000534057617
2011-03-29,104.23616790771484,18.15999984741211
2011-03-30,104.95552062988281,17.709999084472656
2011-03-31,104.81320190429688,17.739999771118164
2011-04-01,105.25593566894531,17.399999618530273
2011-04-04,105.34288024902344,17.5
2011-04-05,105.32705688476562,17.25
2011-04-06,105.65907287597656,16.899999618530273
2011-04-07,105.3902816772461,17.110000610351562
