	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)
VARIABLES	DGMM: MatGap >= P90	SGMM: MatGap >= P90	DGMM: MatGap <= P10	SGMM: MatGap <= P10	DGMM: AssetSize >= P90	SGMM: AssetSize >= P90	DGMM: AssetSize <= P10	SGMM: AssetSize <= P10	DGMM: Derivative use	SGMM: Derivative use	DGMM: No Derivative use	SGMM: No Derivative use	DGMM: Full sample	SGMM: Full sample
														
L.demanddepshare	-0.347***	-0.397***	-0.477***	-0.455***	-0.584***	-0.355***	-0.213	-0.225*	-0.524***	-0.421***	-0.291***	-0.332***	-0.578***	-0.444***
	(0.0833)	(0.0659)	(0.125)	(0.115)	(0.0797)	(0.0614)	(0.141)	(0.121)	(0.0662)	(0.0457)	(0.0810)	(0.0662)	(0.0582)	(0.0421)
L.savingdepshare	0.265***	-0.192**	0.312**	0.0506	-0.128*	-0.0381	0.612***	0.381**	0.372***	0.0303	0.0879	-0.0425	0.178***	0.0370
	(0.0990)	(0.0839)	(0.137)	(0.120)	(0.0766)	(0.0618)	(0.173)	(0.154)	(0.0783)	(0.0590)	(0.0812)	(0.0640)	(0.0611)	(0.0485)
L.lnassets	-0.0124	0.000636	-0.0473**	-0.0260*	-0.0133	-0.0455***	-0.0880	-0.174***	-0.0609***	-0.0335***	-0.0917***	-0.0199**	-0.0516***	-0.0564***
	(0.0156)	(0.0113)	(0.0194)	(0.0137)	(0.0170)	(0.0130)	(0.0566)	(0.0439)	(0.0135)	(0.00999)	(0.0145)	(0.00928)	(0.0108)	(0.00840)
1L.madummy	0.0644	0.490**	-0.0688	0.243	0.103	0.154	3.306	3.469**	1.073**	0.597*	0.0352	0.0712	1.049***	1.378***
	(0.156)	(0.226)	(0.214)	(0.310)	(0.106)	(0.110)	(2.405)	(1.542)	(0.432)	(0.361)	(0.102)	(0.117)	(0.381)	(0.429)
c.dgs3mo#cL.matgap	0.000217	-0.00221**	-0.00957**	-0.00651*	-0.00541***	-0.00233**	0.00422**	0.000666	-0.00184**	-0.00117*	-0.00356***	-0.00337***	-0.00209***	-0.00125**
	(0.00121)	(0.00107)	(0.00409)	(0.00388)	(0.00110)	(0.000943)	(0.00184)	(0.00175)	(0.000887)	(0.000685)	(0.00109)	(0.00100)	(0.000747)	(0.000598)
c.dgs3mo#cL.othassetshare	0.0155	-0.0174	-0.0474	-0.0495	0.00296	-0.0198	0.177***	0.163***	0.116***	0.0651**	0.167***	0.138**	0.125***	0.0928***
	(0.0439)	(0.0405)	(0.0425)	(0.0401)	(0.0409)	(0.0401)	(0.0444)	(0.0419)	(0.0264)	(0.0253)	(0.0550)	(0.0548)	(0.0258)	(0.0249)
c.dgs3mo#cL.othliabshare	0.0446	-0.0182	-0.0987	0.0232	-0.0237	0.0443	0.485**	0.741***	0.221***	0.191***	-0.0585	0.0769	0.292***	0.274***
	(0.0553)	(0.0569)	(0.166)	(0.166)	(0.0607)	(0.0589)	(0.190)	(0.180)	(0.0652)	(0.0647)	(0.0696)	(0.0667)	(0.0694)	(0.0679)
c.dgs3mo#cL.demanddepshare	0.0923***	0.124***	0.117***	0.131***	0.154***	0.114***	0.0856***	0.0673**	0.133***	0.136***	0.116***	0.120***	0.145***	0.142***
	(0.0192)	(0.0175)	(0.0312)	(0.0308)	(0.0192)	(0.0169)	(0.0329)	(0.0318)	(0.0145)	(0.0120)	(0.0211)	(0.0189)	(0.0130)	(0.0114)
c.dgs3mo#cL.savingdepshare	-0.00958	0.0763***	-0.0137	0.00481	0.0535***	0.0229	-0.0793*	-0.0638	-0.0288	0.0135	0.0228	0.0367**	6.19e-06	0.00370
	(0.0233)	(0.0221)	(0.0339)	(0.0324)	(0.0182)	(0.0162)	(0.0407)	(0.0390)	(0.0175)	(0.0153)	(0.0207)	(0.0179)	(0.0140)	(0.0127)
c.dgs3mo#cL.lnassets	0.00678**	0.00167	0.0141***	0.0120***	0.00868**	0.0161***	0.0306**	0.0546***	0.0228***	0.0132***	0.0122***	0.00751***	0.0216***	0.0202***
	(0.00326)	(0.00305)	(0.00480)	(0.00385)	(0.00385)	(0.00326)	(0.0133)	(0.0113)	(0.00302)	(0.00268)	(0.00325)	(0.00286)	(0.00248)	(0.00224)
1L.madummy#c.dgs3mo	-0.0115	-0.109**	0.0198	-0.0599	-0.0345	-0.0615**	-0.722	-0.924**	-0.283***	-0.234**	-0.0192	-0.0434	-0.285***	-0.440***
	(0.0365)	(0.0535)	(0.0499)	(0.0766)	(0.0259)	(0.0275)	(0.558)	(0.388)	(0.102)	(0.0921)	(0.0243)	(0.0280)	(0.0884)	(0.109)
c.eh10#cL.matgap	0.000634	-0.00376**	-0.0223***	-0.0151**	-0.00946***	-0.00437***	0.00605**	0.000675	-0.00422***	-0.00261**	-0.00581***	-0.00510***	-0.00442***	-0.00267***
	(0.00197)	(0.00171)	(0.00712)	(0.00658)	(0.00169)	(0.00146)	(0.00284)	(0.00270)	(0.00137)	(0.00106)	(0.00166)	(0.00149)	(0.00117)	(0.000921)
c.eh10#cL.othassetshare	-0.000560	-0.0645	-0.0770	-0.105	-0.0653	-0.0999	0.279***	0.248***	0.169***	0.0688*	0.198**	0.144*	0.183***	0.100**
	(0.0729)	(0.0657)	(0.0703)	(0.0641)	(0.0657)	(0.0648)	(0.0723)	(0.0679)	(0.0427)	(0.0402)	(0.0833)	(0.0826)	(0.0419)	(0.0397)
