	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	DGMM: MatGap >= P90	SGMM: MatGap >= P90	DGMM: MatGap <= P10	SGMM: MatGap <= P10	DGMM: AssetSize >= P90	SGMM: AssetSize >= P90	DGMM: AssetSize <= P10	SGMM: AssetSize <= P10	DGMM: Derivative use	SGMM: Derivative use	DGMM: No Derivative use	SGMM: No Derivative use	DGMM: Full sample	SGMM: Full sample	DGMM: Full sample	SGMM: Full sample
																
	(0.000533)	(0.000447)	(0.00155)	(0.00126)	(0.000720)	(0.000625)	(0.000756)	(0.000591)	(0.000327)	(0.000326)	(0.000666)	(0.000586)	(0.000297)	(0.000290)	(0.000297)	(0.000290)
c.dgs3mo#cL.lnassets	9.84e-05	0.000186**	7.16e-05	5.44e-05	0.000105	0.000250**	0.000350	0.000774***	0.000106*	0.000124**	0.000100	0.000142**	5.08e-05	0.000106**	5.08e-05	0.000106**
	(9.29e-05)	(7.30e-05)	(0.000141)	(0.000112)	(0.000171)	(0.000115)	(0.000341)	(0.000225)	(6.33e-05)	(5.27e-05)	(0.000112)	(6.85e-05)	(5.50e-05)	(4.46e-05)	(5.50e-05)	(4.46e-05)
1L.madummy#c.dgs3mo	-0.00442***	-0.00409***	-0.00111	-0.00518**	-0.00125	-0.00191*	-0.00587	-0.00177	-0.00330*	-0.00692***	-0.00149*	-0.00214***	-0.00468**	-0.00678***	-0.00468**	-0.00678***
	(0.00136)	(0.00152)	(0.00239)	(0.00214)	(0.000866)	(0.00104)	(0.0104)	(0.0112)	(0.00196)	(0.00191)	(0.000821)	(0.000816)	(0.00184)	(0.00197)	(0.00184)	(0.00197)
c.eh10#cL.matgap	-1.22e-06	-2.14e-05	0.000952***	0.000554***	3.80e-05	2.44e-05	2.05e-05	-3.88e-05	0.000111***	6.43e-05***	-9.45e-06	-2.38e-05	0.000103***	4.43e-05**	0.000103***	4.43e-05**
	(4.80e-05)	(4.26e-05)	(0.000259)	(0.000212)	(4.90e-05)	(4.20e-05)	(6.35e-05)	(4.78e-05)	(2.68e-05)	(2.03e-05)	(4.14e-05)	(3.77e-05)	(2.49e-05)	(1.80e-05)	(2.49e-05)	(1.80e-05)
c.eh10#cL.othassetshare	-0.00170	0.000133	0.00618**	0.00494**	0.00216	0.00162	-0.00132	0.00120	0.00139	0.00138*	0.00342	0.00366*	0.00127	0.00128*	0.00127	0.00128*
	(0.00168)	(0.00146)	(0.00289)	(0.00243)	(0.00244)	(0.00223)	(0.00169)	(0.00143)	(0.000898)	(0.000775)	(0.00227)	(0.00208)	(0.000892)	(0.000742)	(0.000892)	(0.000742)
c.eh10#cL.othliabshare	0.00403*	0.00124	0.00840	0.00261	-0.00149	-0.00160	0.00639	0.0132**	0.00281	0.00144	0.00651**	0.00285	0.00567***	0.00334**	0.00567***	0.00334**
	(0.00237)	(0.00204)	(0.00802)	(0.00717)	(0.00308)	(0.00271)	(0.00620)	(0.00580)	(0.00196)	(0.00187)	(0.00297)	(0.00272)	(0.00177)	(0.00160)	(0.00177)	(0.00160)
c.eh10#cL.demanddepshare	-0.00144*	6.60e-05	-7.48e-05	0.00107	-0.00186**	-8.75e-05	0.000236	-7.74e-05	0.000963**	0.00144***	-0.00212***	-0.000996	0.000138	0.00124***	0.000138	0.00124***
	(0.000742)	(0.000611)	(0.00157)	(0.00111)	(0.000827)	(0.000705)	(0.00100)	(0.000864)	(0.000445)	(0.000339)	(0.000819)	(0.000689)	(0.000419)	(0.000307)	(0.000419)	(0.000307)
c.eh10#cL.savingdepshare	-0.00192**	-0.00146**	-0.000187	0.00126	-0.00168**	-0.000480	0.000322	0.00233**	-0.000749*	0.000275	-0.00250***	-0.00122**	-0.000860**	0.000349	-0.000860**	0.000349
	(0.000838)	(0.000702)	(0.00149)	(0.00131)	(0.000793)	(0.000603)	(0.00134)	(0.00104)	(0.000439)	(0.000382)	(0.000784)	(0.000614)	(0.000386)	(0.000327)	(0.000386)	(0.000327)
c.eh10#cL.loanshare	-0.000125	0.000332	0.00437*	0.00503***	0.00187*	0.00168*	0.00126	0.000935	0.00152***	0.00130***	0.000104	0.000337	0.00159***	0.00135***	0.00159***	0.00135***
	(0.000807)	(0.000662)	(0.00234)	(0.00186)	(0.00108)	(0.000941)	(0.00111)	(0.000867)	(0.000490)	(0.000487)	(0.00101)	(0.000876)	(0.000445)	(0.000429)	(0.000445)	(0.000429)
c.eh10#cL.lnassets	0.000129	0.000252**	3.73e-05	-1.95e-05	0.000155	0.000419**	0.000494	0.00107***	0.000130	0.000117	0.000155	0.000238**	6.54e-05	0.000129*	6.54e-05	0.000129*
