	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)
VARIABLES	DGMM: MatGap >= P90	SGMM: MatGap >= P90	DGMM: MatGap <= P10	SGMM: MatGap <= P10	DGMM: AssetSize >= P90	SGMM: AssetSize >= P90	DGMM: AssetSize <= P10	SGMM: AssetSize <= P10	DGMM: Derivative use	SGMM: Derivative use	DGMM: No Derivative use	SGMM: No Derivative use	DGMM: Full sample	SGMM: Full sample
														
	(0.000393)	(0.000270)	(0.000623)	(0.000416)	(0.000782)	(0.000492)	(0.00175)	(0.00121)	(0.000327)	(0.000229)	(0.000516)	(0.000287)	(0.000280)	(0.000201)
1L.madummy	-0.00189	-0.00256	-0.00101	0.00185	0.0111***	0.0152***	0.0408	0.0445	0.0147**	0.0116**	0.00384	0.000522	0.0167***	0.0151***
	(0.00403)	(0.00364)	(0.00629)	(0.00688)	(0.00417)	(0.00425)	(0.0298)	(0.0280)	(0.00612)	(0.00531)	(0.00354)	(0.00297)	(0.00623)	(0.00567)
c.dgs3mo#cL.matgap	4.42e-05	2.93e-05	-0.000146	-0.000125	3.76e-06	-4.34e-05	1.51e-05	6.99e-07	-5.04e-05**	-3.08e-05*	-1.61e-05	-7.01e-06	-5.88e-05***	-4.61e-05***
	(3.19e-05)	(2.53e-05)	(0.000123)	(0.000107)	(3.51e-05)	(2.85e-05)	(5.93e-05)	(5.20e-05)	(2.24e-05)	(1.80e-05)	(3.12e-05)	(2.66e-05)	(1.94e-05)	(1.54e-05)
c.dgs3mo#cL.othassetshare	-0.00222*	-0.00180*	-0.00511**	-0.00369*	-0.00258	-0.00230	-0.00104	-0.000263	-0.00110	-0.000301	-0.00406**	-0.00145	-0.00228***	-0.000949
	(0.00125)	(0.00106)	(0.00232)	(0.00192)	(0.00182)	(0.00152)	(0.00154)	(0.00107)	(0.000805)	(0.000692)	(0.00180)	(0.00134)	(0.000759)	(0.000646)
c.dgs3mo#cL.othliabshare	-0.000480	0.00118	0.000187	0.00259	0.00341*	0.00350*	0.00591	0.00251	0.00474***	0.00476***	-0.000156	0.000753	0.00569***	0.00604***
	(0.00163)	(0.00136)	(0.00503)	(0.00431)	(0.00205)	(0.00185)	(0.00516)	(0.00421)	(0.00150)	(0.00123)	(0.00232)	(0.00205)	(0.00143)	(0.00126)
c.dgs3mo#cL.demanddepshare	-0.000893*	-0.00117***	-0.000950	-0.00145	0.00129**	0.000625	-0.00153	-0.00157*	-0.000665*	-0.00105***	-0.000364	-0.000934*	-0.000581*	-0.000990***
	(0.000534)	(0.000424)	(0.00104)	(0.000883)	(0.000638)	(0.000508)	(0.00123)	(0.000934)	(0.000381)	(0.000329)	(0.000577)	(0.000476)	(0.000333)	(0.000278)
c.dgs3mo#cL.savingdepshare	-0.000716	-0.00115**	0.000597	0.000211	-0.000418	-0.000429	0.000317	0.000198	-0.000254	-0.000609*	-0.00144**	-0.00145***	-0.000793**	-0.000888***
	(0.000619)	(0.000513)	(0.00106)	(0.000887)	(0.000657)	(0.000521)	(0.00114)	(0.000881)	(0.000415)	(0.000339)	(0.000651)	(0.000510)	(0.000363)	(0.000302)
