Date,THREEFF0100.B,THREEFF0200.B,THREEFF0300.B,THREEFF0400.B,THREEFF0500.B,THREEFF0600.B,THREEFF0700.B,THREEFF0800.B,THREEFF0900.B,THREEFF1000.B,THREEFFTP0100.B,THREEFFTP0200.B,THREEFFTP0300.B,THREEFFTP0400.B,THREEFFTP0500.B,THREEFFTP0600.B,THREEFFTP0700.B,THREEFFTP0800.B,THREEFFTP0900.B,THREEFFTP1000.B,THREEFY0100.B,THREEFY0200.B,THREEFY0300.B,THREEFY0400.B,THREEFY0500.B,THREEFY0600.B,THREEFY0700.B,THREEFY0800.B,THREEFY0900.B,THREEFY1000.B,THREEFYTP0100.B,THREEFYTP0200.B,THREEFYTP0300.B,THREEFYTP0400.B,THREEFYTP0500.B,THREEFYTP0600.B,THREEFYTP0700.B,THREEFYTP0800.B,THREEFYTP0900.B,THREEFYTP1000.B
21 03 2011,0.547699988,1.577399969,2.595799923,3.431099892,4.077600002,4.574699879,4.96420002,5.279099941,5.542500019,5.76970005,0.076200001,0.130700007,0.313600004,0.569299996,0.84009999,1.095800042,1.326300025,1.531299949,1.714100003,1.878700018,0.249599993,0.648500025,1.131899953,1.60650003,2.038899899,2.421900034,2.758300066,3.054399967,3.316600084,3.550800085,0.061900001,0.077299997,0.122599997,0.201499999,0.30219999,0.413500011,0.527700007,0.640600026,0.749899983,0.854700029
22 03 2011,0.569599986,1.605000019,2.621299982,3.452899933,4.096099854,4.59070015,4.978499889,5.292099953,5.554699898,5.781300068,0.086099997,0.145300001,0.3292,0.584200025,0.853799999,1.108399987,1.338000059,1.542299986,1.724599957,1.888800025,0.2597,0.666499972,1.152899981,1.628100038,2.060199976,2.442500114,2.778199911,3.073400021,3.334899902,3.568500042,0.067199998,0.086300001,0.133699998,0.213699996,0.314799994,0.426200002,0.540300012,0.653100014,0.762199998,0.86680001
23 03 2011,0.580500007,1.623200059,2.640599966,3.471299887,4.113299847,4.606800079,4.993599892,5.306600094,5.568600178,5.794799805,0.093999997,0.157399997,0.342799991,0.59799999,0.867299974,1.121500015,1.350600004,1.5546,1.736600041,1.900599957,0.260899991,0.674799979,1.164700031,1.641800046,2.074700117,2.457400084,2.793100119,3.088399887,3.34980011,3.583199978,0.071500003,0.093599997,0.142800003,0.224000007,0.325800002,0.4375,0.551900029,0.664699972,0.773899972,0.878499985
24 03 2011,0.62440002,1.685099959,2.707099915,3.537400007,4.177499771,4.668799877,5.053599834,5.364699841,5.625100136,5.84980011,0.115500003,0.189999998,0.380400002,0.637700021,0.907800019,1.162299991,1.391600013,1.595700026,1.777799964,1.941799998,0.282900006,0.713100016,1.211899996,1.693699956,2.129300117,2.513400078,2.84980011,3.145400047,3.406800032,3.640100002,0.083300002,0.113300003,0.167899996,0.252400011,0.356599987,0.469999999,0.585600019,0.699299991,0.809199989,0.914399981
25 03 2011,0.679700017,1.755499959,2.775300026,3.59920001,4.232900143,4.719200134,5.100299835,5.408699989,5.667099953,5.890200138,0.139799997,0.225999996,0.419800013,0.676599979,0.945100009,1.197900057,1.425899982,1.628999949,1.810400009,1.973899961,0.311699986,0.760100007,1.266600013,1.751000047,2.1868999,2.570100069,2.905400038,3.199700117,3.459899902,3.691999912,0.096500002,0.135399997,0.195299998,0.282799989,0.388500005,0.502699971,0.618600011,0.7324,0.842299998,0.947399974
28 03 2011,0.711799979,1.792999983,2.808399916,3.626199961,4.254899979,4.737400055,5.11590004,5.422599792,5.679800034,5.902100086,0.152400002,0.244299993,0.438899994,0.694400012,0.960900009,1.212000012,1.438599944,1.640699983,1.821400046,1.984400034,0.329100013,0.786899984,1.296399951,1.780900002,2.215600014,2.59739995,2.931200027,3.224100113,3.48300004,3.713999987,0.103299998,0.146899998,0.209299996,0.298000008,0.404000014,0.518000007,0.633700013,0.747099996,0.856599987,0.961399972
29 03 2011,0.734700024,1.824300051,2.838500023,3.652800083,4.278100014,4.757999897,5.134600163,5.439899921,5.696199894,5.917699814,0.1646,0.262400001,0.458600014,0.713500023,0.978799999,1.228700042,1.454300046,1.655699968,1.835800052,1.998399973,0.337199986,0.805199981,1.318899989,1.80490005,2.239799976,2.621200085,2.954400063,3.246599913,3.504899979,3.735399961,0.109800003,0.157900006,0.223000005,0.31310001,0.419800013,0.534099996,0.649800003,0.763199985,0.872500002,0.977100015
30 03 2011,0.719500005,1.804499984,2.815900087,3.628700018,4.25330019,4.732999802,5.109700203,5.415299892,5.671899796,5.894000053,0.159199998,0.254299998,0.448500007,0.701900005,0.966099977,1.215000033,1.439900041,1.640699983,1.820299983,1.982599974,0.325399995,0.790499985,1.302000046,1.786299944,2.220000029,2.600600004,2.933099985,3.224900007,3.482899904,3.713200092,0.106799997,0.152999997,0.216700003,0.305700004,0.41139999,0.524900019,0.639900029,0.752699971,0.861500025,0.965600014
31 03 2011,0.728399992,1.817000031,2.8276999,3.638700008,4.261700153,4.740200043,5.116000175,5.42110014,5.677299976,5.899000168,0.164399996,0.261900008,0.456699997,0.709800005,0.97329998,1.221600056,1.44599998,1.646299958,1.825700045,1.987699986,0.327600002,0.797200024,1.310500026,1.79550004,2.229199886,2.609499931,2.941800117,3.233200073,3.49090004,3.720900059,0.1096,0.157700002,0.222499996,0.312000006,0.418099999,0.531599998,0.646499991,0.759199977,0.867900014,0.971899986
1 04 2011,0.73269999,1.823600054,2.830600023,3.637399912,4.256999969,4.733099937,5.107500076,5.411799908,5.667600155,5.889200211,0.169100001,0.26879999,0.463099986,0.714299977,0.975799978,1.222200036,1.445000052,1.644199967,1.822600007,1.983899951,0.323100001,0.798099995,1.31280005,1.797399998,2.230099916,2.609299898,2.940399885,3.230900049,3.487799883,3.717099905,0.112000003,0.161899999,0.227599993,0.317200005,0.422899991,0.535899997,0.650099993,0.762199998,0.870299995,0.973699987
